,Equipment,Sub equipment (if applicable),Down time issue,Machine/ process stop time,Machine/ process start time,Time taken (Duration),"Type (B/D, PM, SC, Process)",Attended by - department,Attended by - senior PM/ PC/ other,Issue,Temporary action taken
830,Mould,Mould,seal change due to water leakage ,5:14,6:00,0.77,B/D,Mechanical,,Water leakage from SPT side as Round Seal got damaged sue to twisting ,Seal Changed
831,Mould,Mould,Seal  change ,4:20,4:30,0.17,B/D,Mechanical,,,
832,Mould,Mould,Seal  change ,4:45,4:50,0.08,B/D,Mechanical,,,
833,trough ,trough ,trough recuting for centering ,7:50,8:15,0.42,B/D,Mechanical,,,
834,Core loader ,Core loader ,Core loader spring broken,22:57,23:12,0.25,B/D,Mechanical,,,
835,Mould,Mould,seal change due to water leakage ,6:00,6:35,0.58,B/D,Mechanical,,,
836,extractor,extractor,extractor change,16:00,16:56,0.93,B/D,Mechanical,,,
837,Core loader,Core loader,Core loader prob,3:55,3:59,0.07,B/D,Mechanical,,,
838,PTT,PTT,PTT trolley rope prob,10:35,11:23,0.8,B/D,Mechanical,,PTT Rope Damage,Rope Changed
839,MTC ,MTC ,MTC change ,8:50,14:00,5.17,B/D,Mechanical,,,
840,Core loader,Core loader,Core loader centering done,6:25,6:43,0.3,B/D,Mechanical,,,
841,ccm,ccm,m/c stop due to hose leakage ,6:45,6:54,0.15,B/D,Mechanical,,,
842,Mould,Mould,water leakage from spt side ,19:25,19:35,0.17,B/D,Mechanical,,,
843,core ring ,core ring ,core ring prob,0:35,0:40,0.08,B/D,Mechanical,,Core Loader Housing Open Out due to Bogie down Movement,Core Loader Centered & Checked
844,pump ,pump ,hydrulic pump not work,22:00,22:38,0.63,B/D,Mechanical,,,
845,Mould,Mould,mould rotation prob,23:10,0:11,1.02,B/D,Mechanical,,,
846,MTC,MTC,m/c bogie down up position not slove,8:24,8:39,0.25,B/D,Mechanical,,,MTC Internal Leak Checking Work Done
847,Core loader/extractor,Core loader/extractor,Core loader/extractor centering ,22:30,22:45,0.25,B/D,Mechanical,,,
848,trough ,trough ,A side trough pressing roller change,5:15,5:30,0.25,B/D,Mechanical,,A-side Trough Pressing roller Jam,Roller Changed  
849,diabola ,diabola ,diabola trolley derailed,2:15,3:35,1.33,B/D,Mechanical,,Diabola Trolley derailed as wheel nut was loose & limit swtich cable was damaged,"Trolley Placed, all wheel nut tightened & Elec. Cable repaired"
850,MTC ,MTC ,MTC pin open out ,6:31,18:00,11.48,B/D,Mechanical,,Bogie not moving as MTC Eye Broken,MTC Changed
851,ccm,ccm,pipe lifting prob ,18:00,18:18,0.3,B/D,Mechanical,,,
852,trough ,trough ,A side trough supporting roller change,18:47,19:02,0.25,B/D,Mechanical,,A-side Trough supporting roller Jam,Roller Changed
853,diabola ,diabola ,diabola cylinder change,17:50,18:55,1.08,B/D,Mechanical,,,
854,Mould,Mould,water leakage from spt side ,13:40,14:25,0.75,B/D,Mechanical,,Spt Mould Seal Water Leakage,Seal remodeling work done
855,Core Loader,Core Loader,C/B prob ,6:44,7:13,0.48,B/D,Mechanical,,,
856,Core loader/extractor,Core loader/extractor,Core loader/extractor centering check,10:10,10:36,0.43,B/D,Mechanical,,,
857,Core loader/extractor,Core loader/extractor,Core loader/extractor centering check,14:57,15:22,0.42,B/D,Mechanical,,Core burst due to DC motor vibrating with pulley as mounting stud nut was loose,Stud Nut tightened & core loader changed 
858,Core loader/extractor,Core loader/extractor,Core loader/extractor centering check,14:33,14:37,0.07,B/D,Mechanical,,,Nut tightened & trial taken OK
859,extractor,extractor,hydrulic oil leakage from hose,7:10,7:45,0.58,B/D,Mechanical,,Jaw Expansion A-port Hose Puncture,Hose Changed
860,core ring ,core ring ,core ring centering done ,12:35,13:15,0.67,B/D,Mechanical,,Core Burst due to Core Breaking after Sleeve Change,Core Loader Changed & Aligned
861,Mould,Mould,water leakage from spt side ,19:30,20:13,0.72,B/D,Mechanical,,Water Leakage from Mould Seal at Spt side as seal was damaged,Seal Changed
862,Scrap trolley ,Scrap trolley ,Scrap trolley rope change,16:30,17:44,1.23,B/D,Mechanical,,,
863,DC motor,DC motor,DC motor lifting jack broken ,5:45,6:00,0.25,B/D,Mechanical,,,
864,Mould,Mould,water leakage from spt side ,13:30,14:20,0.83,B/D,Mechanical,,Spt water leakage due to Seal twist,Seal Changed
865,Mould,Mould,O ring change,10:50,11:15,0.42,B/D,Mechanical,,,
866,Mould,Mould,water leakage from spt side ,13:05,13:13,0.13,B/D,Mechanical,,,
867,Flag gate,Flag gate,Flag gate prob,22:22,22:39,0.28,B/D,Mechanical,,,
868,DC motor,DC motor,DC motor lifting jack broken ,6:00,7:36,1.6,B/D,Mechanical,,DC Motor Base Gearbox Broken,Gearbox with Screw Rod removed & sopport piece Welded
869,DC motor,DC motor,DC motor V belt change ,22:25,22:50,0.42,B/D,Mechanical,,,
870,Core loader,Core loader,Core loader spring broken,12:25,12:37,0.2,B/D ,Mechanical,,Core Loader Spring Broken,New Core Loader Spring Changing Work Done
871,Core loader,Core loader,Core loader centering done + V belt change ,22:00,22:30,0.5,B/D ,Mechanical,,,
872,CCM,CCM,UNDER MECHANICAL ,9:30,14:39,5.15,B/D ,Mechanical,,,
873,Mould,Mould,mould change due to mould rotation jam ,21:30,23:10,1.67,B/D ,Mechanical,,Mould Rotation Jam,Sleeve Changed
874,Core ring ,Core ring ,during casting time core ring diabola remove ,10:35,10:45,0.17,B/D ,Mechanical,,,
875,Mould,Mould,water leakage from spt side ,0:12,0:19,0.12,B/D ,Mechanical,,,
876,Mould,Mould,water leakage from spt side ,3:35,6:00,2.42,B/D ,Mechanical,,Spigot Sleeve pressing unit Head Broken,Sleeve pressing unit head was welded & grinded. During trial core was breaking so Core Loader changed.
877,Core loader,Core loader,Core loader centering done ,8:42,8:50,0.13,B/D ,Mechanical,,,
878,Flag gate,Flag gate,Flag gate height adjusment,2:46,3:13,0.45,B/D ,Mechanical,,,
879,sector ladle ,sector ladle ,sector ladle lip broken & diabola derail,8:30,9:40,0.15,B/D ,Mechanical,,,
880,Core loader,Core loader,Core loader centering done ,6:50,7:30,0.67,B/D ,Mechanical,,,
881,Mould,Mould,water leakage from spt side ,6:00,7:55,1.92,B/D ,Mechanical,,Spigot Sleeve pressing unit Head Broken,Sleeve pressing unit head was welded & grinded. During trial core was breaking so Core Loader changed.
882,CCM,CCM,m/c stop due to ccm-3 b/d,12:10,12:50,0.67,B/D ,Mechanical,,,
883,Mould,Mould,mould vibration,12:40,14:35,1.92,B/D ,Mechanical,,Mould Vibration in Spigot side resulting in pipe thickness variation,"Dial chancked (1.2mm), Skt stud bolt damaged so Sleeve Changed & dial checked (0.3mm), DC Motor Cchanged due to Electrical BD"
884,DC motor ,DC motor ,DC motor v belt change ,1:58,2:21,0.38,B/D ,Mechanical,,,
885,Mould,Mould,water leakage from spt side ,4:05,5:00,0.92,B/D ,Mechanical,,Spigot Water Leakage from Mould Seal as seal lip was damaged,Seal Changed
886,trough,trough,B side trough tilting prob ,14:15,14:30,0.25,B/D ,Mechanical,,B-side trough Trolley not tilting,DC valve operated manually but still not tilting so DC Valve Flow Increased
887,Mould,Mould,water leakage from spt side ,0:22,0:31,0.15,B/D ,Mechanical,,,
888,Mould,Mould,mould change due to spt side sleeve top roller change ,1:30,3:15,1.75,B/D ,Mechanical,,Mould Vibration due to side roller damage,Sleeve Changed
889,Core ring ,Core ring ,Core ring change,16:31,16:40,0.15,B/D ,Mechanical,,Core Loader Spring Broken,Core Loader Changed
890,Gantry ,Gantry ,plate welding gaantry tilting arm welding ,4:50,4:58,0.13,B/D ,Mechanical,,,
891,Flag gate,Flag gate,Flag gate prob,5:40,6:00,0.33,B/D ,Mechanical,,Flag Gate Rope Broken,Rope Changed
892,trough,trough,A side trough supporting roller change ,18:32,19:00,0.47,B/D ,Mechanical,,A-side trough supporting roller V-position one part flat,Roller Changed
893,Mould,Mould,water leakage from spt side ,0:10,1:05,0.92,B/D ,Mechanical,,Spigot Seal leakage due to Seal lip damage,Seal changed as leakage didn't stopped from Scaling
894,Mould,Mould,water leakage from spt side ,20:34,21:10,0.6,B/D ,Mechanical,,Spigot side water leakage due to seal damage,Seal Changed
895,Mould,Mould,water leakage from spt side ,22:35,22:50,0.25,B/D ,Mechanical,,,
896,trough,trough,A side trough tilting prob,8:25,8:34,0.15,B/D ,Mechanical,,,
897,Mould,Mould,water leakage from spt side ,12:13,12:18,0.08,B/D ,Mechanical,,,
898,Mould,Mould,Mould seal change,12:50,13:10,0.33,B/D ,Mechanical,,,
899,pump ,pump ,pump no.3 ttrip ,16:35,16:50,0.25,B/D ,Mechanical,,,
900,dial gauge ,dial gauge ,dial gauge check,19:41,19:51,0.17,B/D ,Mechanical,,,
901,dial gauge ,dial gauge ,dial gauge check,1:10,1:25,0.25,B/D ,Mechanical,,,
902,Mould,Mould,water leakage from spt side ,3:00,3:14,0.23,B/D ,Mechanical,,Spigot Mould Seal Water Leakage,Scaling & dummy seal fixing done
903,trough,trough,A side trough pressing roller change ,2:38,2:47,0.15,B/D ,Mechanical,,,
904,Mould,Mould,water leakage from spt side ,11:55,12:30,0.58,B/D ,Mechanical,,Spigot Seal water leakage due to lip cut cause of more pressing,Seal Changed
905,PTT,PTT,PTT trolley b/d ,18:25,18:35,0.17,B/D ,Mechanical,,,
906,Mould,Mould,water leakage from spt side ,17:20,18:00,0.67,B/D ,Mechanical,,,
907,Core loader,Core loader,Core loader ring change ,20:57,21:12,0.25,B/D ,Mechanical,,,
908,CCM,CCM,UNDER MECHANICAL ,7:50,8:10,0.33,B/D ,Mechanical,,,
909,extractor ,extractor ,extractor jaw change ,10:12,11:15,1.05,B/D ,Mechanical,,Extractor Pipe Slippage,Extractor changed & aligned
910,uli unit ,uli unit ,dry powder uli dropping prob,12:21,17:45,5.4,B/D ,Mechanical,,Dry Powder Feed Problem,Screw Changing work done with lock nut adjusted but not sloved so powder pipe loose nipple position hole decreased by washer welding 
911,uli unit ,uli unit ,dry powder uli dropping prob,19:10,19:55,0.75,B/D ,Mechanical,,Dry Powder pipe hole position metal Jam ,Metal Cleaned & trial taken OK
912,uli unit ,uli unit ,dry powder uli dropping prob,4:15,4:37,0.37,B/D ,Mechanical,,,
913,uli unit ,uli unit ,dry powder uli dropping prob,5:10,6:00,0.83,B/D ,Mechanical,,Dry Powder Feed Problem,Screw feeder pipe line fitted and trial NOT OK so screw check nut adjusted and thread sleeve lock by welding & trial OK
914,Mould,Mould,mould rpm prob (due to mould jam),7:45,8:10,0.42,B/D ,Mechanical,,Mould Rotation Jam due to DC Motor belt over tightening and found metal inside spigot seal,"Belt loose & metal cleaned, OK in trial "
915,MTC ,MTC,MTC gland tight & core loader centring ,20:30,21:00,0.5,B/D ,Mechanical,,,
916,core loader ,core loader ,core loader hydrulic hose leakge ,1:53,2:20,0.45,B/D ,Mechanical,,Core loader cylinder piston rod end side (B-port) hose got damaged resulting in oil leakage,Hose Changed
917,Core loader,Core loader,Core loader centering done,9:24,9:29,0.08,B/D ,Mechanical,,,
918,uli unit ,uli unit ,dry powder uli dropping prob,6:00,7:04,1.07,B/D ,Mechanical,,,
919,trough,trough,B side trough supporting roller change ,0:25,0:50,0.42,B/D ,Mechanical,,,
920,DC motor ,DC motor ,DC motor prob,11:40,12:40,1,B/D ,Mechanical,,,
921,Flag gate,Flag gate,Flag gate hose piipe change ,19:58,20:04,0.1,B/D ,Mechanical,,Skt flag gate A-port Hose damaged,New Hose Changed
922,screw feeder,screw feeder,screw feeder change,13:22,17:57,4.58,B/D ,Mechanical,,Dry Powder Screw feeder fluctuation,CCM-1 to CCM-5 changing work done and trial OK
923,diabola ,diabola ,diabola shifting prob ,7:45,8:12,0.45,B/D ,Mechanical,,Diabola Trolley Movement Problem due to metal Jam,Metal Cleaned & trial taken OK
924,diabola ,diabola ,diabola shifting prob ,10:39,10:51,0.2,B/D ,Mechanical,,,
925,extractor jaw ,extractor jaw ,extractor jaw clossing prob,21:10,21:25,0.25,B/D ,Mechanical,,,
926,Core loader,Core loader,Core loader change ,1:25,2:10,0.75,B/D ,Mechanical,,Socket Fly (1) & Core Burst (1),Core Loader Changed & Aligned (Compression 0.17mm)
927,Core loader,Core loader,Core loader spring broken,15:53,15:59,0.1,B/D ,Mechanical,,,
928,trough,trough,B side trough pressing roller change ,7:30,7:52,0.37,B/D ,Mechanical,,B-side Trough pressing cylinder eye open out,Cylinder with eye welding done & trial OK
929,Core loader,Core loader,Core loader prob,3:05,3:32,0.45,B/D ,Mechanical,,Core ring with spring & shaft got out from its Housing,"Core Loader changed & centered (When core was rotated, DC motor back side screw stud was found totally loose so tightened)"
930,Core Loader,Core Loader,Spring Broken,15:45,16:05,0.33,B/D ,Mechanical,,Core Loader Spring Broken,Core Loader changing work done
931,Mould,Mould,water leakage from spt side ,3:13,3:30,0.28,B/D ,Mechanical,,,
932,trough,trough,trough shifting area hydrulic pin open out ,3:30,4:50,1.33,B/D ,Mechanical,,Trough was not shifting from A to B side as locking Pin at A-side got out,Pin was Locked and trial OK
933,DC motor ,DC motor ,DC motor rpm prob ,23:10,23:22,0.2,B/D ,Mechanical,,,
934,Mould,Mould,water leakage from spt side ,3:28,4:08,0.67,B/D ,Mechanical,,Water Leakage from Spigot Mould Seal,Tried to arrest from scaling but failed so Seal changed (Metal Formation on the bottom tray got stuck to clamp plate which was cleaned)
935,Core loader,Core loader,Core loader centering done,7:32,7:45,0.22,B/D ,Mechanical,,Core Burst ,Core Loader changed
936,extractor jaw ,extractor jaw ,extractor jaw not properly open,10:48,11:15,0.45,B/D ,Mechanical,,,
937,Mould,Mould,mould vibration,7:07,7:35,0.47,B/D ,Mechanical,,DN150 Sl-8 Vibration,Sleeve Change
938,sector ladle ,sector ladle ,sector ladle full up after 1st pipe moving ,12:46,14:46,2,B/D ,Mechanical,,Sector Ladle not Down,"Hydraulic Check OK, Cam Roller Check OK, Hinge Metal Clean & trial taken OK"
939,sector ladle ,sector ladle ,sector ladle valve change ,16:15,17:15,1,B/D ,Mechanical,,,
940,Core loader,Core loader,Core loader housing change ,0:35,0:49,0.23,B/D ,Mechanical,,Core Loader Spring Broken,Core Loader Housing Changed
941,Mould,Mould,water leakage from spt side ,1:08,1:13,0.08,B/D ,Mechanical,,,
942,Core loader,Core loader,Core loader change ,8:14,8:22,0.13,B/D ,Mechanical,,Core Burst,Core Loader Change
943,Mould,Mould,mould jam,22:00,22:45,0.75,B/D ,Mechanical,,Mould Rotation Jam due to Roller Damaged as Socket side Top Roller Clamp Plate Opened out ,Mould Rotated by Crane and then OK
944,Core loader,Core loader,Core loader centering done,16:40,16:45,0.08,B/D ,Mechanical,,,
945,Core loader,Core loader,Core loader change ,20:00,20:15,0.25,B/D ,Mechanical,,,
946,Mould,Roller ,spt side top roller change & mould change ,13:05,15:49,2.73,B/D ,Mechanical,,,
947,MTC,MTC,MTC change,7:35,7:55,0.33,B/D ,Mechanical,,,
948,PTT,PTT,PTT stoper broken,12:30,12:40,0.17,B/D ,Mechanical,,,
949,MTC,MTC,MTC gland tight ,12:50,13:05,0.25,B/D ,Mechanical,,,
950,Hose pipe ,Hose pipe ,outlet hose pipe change ,8:50,10:05,1.25,B/D ,Mechanical,,,
951,uli unit,uli unit,dry powder vibrator change ,15:42,15:52,0.17,B/D ,Mechanical,,,
952,Core loader,Core loader,Core loader spring broken,15:48,15:56,0.13,B/D ,Mechanical,,Core Loader Spring Broken,Core Loader Changed & Aligned
953,Core loader,Core loader,Core loader centering done,7:35,7:48,0.22,B/D ,Mechanical,,,
954,Core loader,Core loader,Core loader spring broken,8:20,8:43,0.38,B/D ,Mechanical,,Core Loader Spring Broken,Core Loader Changed & Aligned
955,trough,trough,B side trough roller prob ,7:58,8:12,0.23,B/D ,Mechanical,,B-side Supporting Roller Jam,Roller Changed
956,Mould,Mould,mould rotation prob ,9:29,9:42,0.22,B/D ,Mechanical,,,
957,core loader ,core loader ,Core loader ring change ,9:42,9:52,0.17,B/D ,Mechanical,,,
958,Mould,Mould,mould rotation prob ,11:41,12:45,1.07,B/D ,Mechanical,,,
959,trough,trough,B side trough supporting roller change ,2:00,2:40,0.67,B/D ,Mechanical,,B-side Trough Supporting Roller Jam,Roller Changed
960,PTT,PTT,PTT rope tight ,15:18,15:22,0.07,B/D ,Mechanical,,,
961,trough,trough,B side trough supporting roller change ,1:32,1:52,0.33,B/D ,Mechanical,,B-side Trough Supporting Roller Jam,Roller Changed
962,Core Loader,Core Loader,C/B prob,6:10,6:20,0.17,B/D ,Mechanical,,,
963,dial gauge ,dial gauge ,dial gauge check,22:45,22:57,0.2,B/D ,Mechanical,,,
964,dial gauge ,dial gauge ,dial gauge check,23:02,23:08,0.1,B/D ,Mechanical,,,
965,dial gauge ,dial gauge ,dial gauge check,23:50,23:55,0.08,B/D ,Mechanical,,Socket Thickness Variation by 1.5mm,Dial found 0.6mm & then set 0.4mm
966,Core loader,Core loader,Core loader spring broken,2:45,3:00,0.25,B/D ,Mechanical,,Core Loader Spring Broken,Core Loader Changed & Aligned
967,Core loader,Core loader,Core loader change ,20:55,21:07,0.2,B/D ,Mechanical,,,
968,Mould,Mould,rotation off after skt filling ,3:28,3:55,0.45,B/D ,Mechanical,,Mould Rotation Jam in Auto Condition,Manually Rotated & Checked - Found OK
969,CCM,CCM,hose pipe leakage,8:40,8:50,0.17,B/D ,Mechanical,,,
970,Core loader,Core loader,Core loader spring broken,5:42,5:55,0.22,B/D ,Mechanical,,Core Loader Spring Broken,Core Loader Change
971,Core loader,Core loader,Core loader ring change ,18:52,18:58,0.1,B/D ,Mechanical,,Core Loader Metal Fly as Spring Was Loose,Housing Changed
972,Core loader,Core loader,Core loader centering done ,7:05,7:14,0.15,B/D ,Mechanical,,,
973,Core loader,Core loader,Core loader ring change ,8:45,9:00,0.25,B/D ,Mechanical,,,Core Loader Changed
974,Core loader,Core loader,Core loader ring change & centering done ,10:45,11:30,0.75,B/D ,Mechanical,,Core Loader Spring Broken,Core Loader Changed
975,PTT,PTT,PTT movement prob,5:00,5:10,0.17,B/D ,Mechanical,,PTT Derail in Non-Drive Pulley Side due to Sand Jam in Rail,
976,crane ,crane ,D crane b/d,3:55,6:00,2.08,B/D ,Mechanical,,,
977,crane ,crane ,D crane b/d,3:18,5:11,1.88,B/D ,Mechanical,,,
978,Core loader,Core loader,Core loader centering ,7:45,7:51,0.1,B/D ,Mechanical,,,
979,trough,trough,B side trough tilting prob ,13:25,15:00,1.58,B/D ,Mechanical,,B-side Trough Tilting Cylinder was not working ,Washed with Water but Abnormal sound Coming while Rotating
980,trough,trough,trough shifting chain prob,21:09,21:22,0.22,B/D ,Mechanical,,Trough Tilting Drag Chain Mounting Bolt Open Out,Drag Chain Positioned and new Bolt fitted. OK in Trial
981,crane ,crane ,D crane b/d,3:35,5:05,1.5,B/D ,Mechanical,,Crane LT Movement Stop due to Wheel Jam,LT Wheel Change & both side Gearbox fit. OK in Trial
982,trough,trough,A side trough tilting prob ,9:59,11:13,1.23,B/D ,Mechanical,,A-side Trough Tilting Cylinder was not Workig as broken box spanner got stuck between gear & spanner resulting in restriction of Rotation,Broken Box Spanner was removed & Gear washed off with air
983,crane ,crane ,D crane b/d,3:28,5:09,1.68,B/D ,Mechanical,,,
984,crane ,crane ,D crane b/d,3:21,5:42,2.35,B/D ,Mechanical,,,
985,ULI,ULI,Pipe Line Broken,7:00,8:15,1.25,B/D ,Mechanical,,ULI Trough Powder Metalic pipe line for Air flow Broken,Welding Work Done
986,Core loader,Core loader,Core loader centering done ,2:40,2:51,0.18,B/D ,Mechanical,,,
987,Mould,Mould,water leakage from spt side ,3:30,4:00,0.5,B/D ,Mechanical,,,
988,Mould,Mould,water leakage from spt side ,11:08,11:32,0.4,B/D ,Mechanical,,,
989,Gantry ,Gantry ,Gantry arm hose pipe leakge,11:25,11:42,0.28,B/D ,Mechanical,,,
990,Core loader,Core loader,Core loader centering done ,22:00,0:15,2.25,B/D ,Mechanical,,Roller Mounting Sqaure Block Welding Broken,"Grinding, Repositioning & Full Welding Work Done"
991,Core loader,Core loader,Core loader not open during casting ,8:35,9:55,1.33,B/D ,Mechanical,,Core Loader Cylinder Was not Opening Out after Producing Pipe as DC Valve Coil wire burned due to oil leakage from Pressure Gauge as hot metal got contacted with Oil,Pressure Gauge & Wire Changed
992,CCM,CCM,under mechanical,14:25,15:10,0.75,B/D ,Mechanical,,,
993,Core loader,Core loader,Core loader unit change,14:15,14:28,0.22,B/D ,Mechanical,,,
994,Mould,Mould,v seal water leakage ,9:00,10:32,1.53,B/D ,Mechanical,,Huge Water Leakage from HB V-Seal,"Sleeve Changed. Sl no -10 , due to v-seal came out from the seating area."
995,Core loader,Core loader,Core loader solinoied valve prob,3:11,3:43,0.53,B/D ,Mechanical,,,
996,Mould,Mould,Mould change due to spt side water leakage,0:27,2:07,1.67,B/D ,Mechanical,,,
997,Mould,Mould,Mould change due to mould vibration,12:30,13:30,1,B/D ,Mechanical,,"Mould Vibration in Sleeve-9,mould no - 118",Sleeve Changed.vibration due to roller path damage in mould
998,Mould,Mould,mould sleeve pressing prob ,13:30,14:16,0.77,B/D ,Mechanical,,,
999,Core loader,Core loader,Core loader spring broken,6:00,6:29,0.48,B/D ,Mechanical,,,
1000,Core loader,Core loader,Core loader centering done ,1:35,1:44,0.15,B/D ,Mechanical,,,
1001,trough,trough,A side trough roller jaw adjustment ,23:00,23:30,0.5,B/D ,Mechanical,,,
1002,Core loader,Core loader,"pipe falldown from sptside flaggate& core loader open out ,core ring change ",10:00,10:23,0.38,B/D ,Mechanical,,,
1003,fallchute ,fallchute ,both side fallchute change ,10:00,11:10,1.17,B/D ,Mechanical,,,
1004,Core loader,Core loader,Core loader spring broken,16:35,16:49,0.23,B/D ,Mechanical,,,
1005,Core loader,Core loader,Core loader not work,21:06,21:16,0.17,B/D ,Mechanical,,Core Loader Cylinder Back side Pin Open Out,Cylinder Pin Fixing with locking done
1006,trough,trough,B side trough supporting roller change +fall chute change ,19:00,19:58,0.97,B/D ,Mechanical,,,
1007,Core loader,Core loader,Core loader prob,7:24,7:57,0.55,B/D ,Mechanical,,"Core Loader Cylinder Trunion Clamp Bolt Broken, cylinder Open Out","Broken Bolt removed, new trunion fitted & Clamp Welding work done"
1008,Core loader,Core loader,Core ring spring broken ,8:32,8:49,0.28,B/D,Mechanical,,Core Loader Spring Broken,Core Loader Housing Changed
1009,Core loader,Core loader,Core loader forward & backword prob ,10:55,11:40,0.75,B/D,Mechanical,,,
1010,trough,trough,B side trough mould powder tube change ,16:54,17:10,0.27,B/D,Mechanical,,,
1011,Mould,Mould,water leakage from V seal,16:27,21:53,5.43,B/D,Mechanical,,V-Seal Leakage (HB No-1),Sleeve Changed
1012,trough,trough,b side trough tilting prob,14:40,21:15,6.58,B/D,Mechanical,,B-side Trough Tilting Metal Jam & also Bearing Plate Bolt Broken (14 Nos),Bearing Changing Work Done
1013,trough,trough,B side trough stopper welding ,20:20,20:30,0.17,B/D,Mechanical,,,
1014,Mould,Mould,Mould change,6:00,7:30,1.5,B/D,Mechanical,,"Water Leakage From V-Seal at Down Position (Sleeve No-1 , HB No-2)",Sleeve Changed
1015,Mould,Mould,Mould change,8:12,11:28,3.27,B/D,Mechanical,,"Water Leakage from V-Seal after making 10 pipes (Sleeve No-2, HB No-1)",Sleeve Ready & Sleeve Changed
1016,Mould,Mould,water leakage from spt side ,13:43,14:30,0.78,B/D,Mechanical,,,
1017,trough,trough,A side trough pressing roller change,19:31,19:44,0.22,B/D,Mechanical,,,
1018,trough,trough,spt side metal chute broken & trough shifting prob ,3:20,4:00,0.67,B/D,Mechanical,,,
1019,trough,trough,A side fallchute guide plate broken ,0:25,1:20,0.92,B/D,Mechanical,,,
1020,Extractor,Extractor,Extractor allignment,10:15,10:45,0.5,B/D,Mechanical,,,
1021,uli unit,uli unit,A side trough dry uli tube change ,12:03,12:28,0.42,B/D,Mechanical,,,
1022,Mould,Mould,water leakage from spt side ,14:35,16:18,1.72,B/D,Mechanical,,Spigot side Water Leakage due to rubber Square Washer Cutting,
1023,trough,trough,B side fallchute change ,4:06,5:06,1,B/D,Mechanical,,,
1024,Core loader,Core loader,Core loader spring broken,14:20,14:35,0.25,B/D,Mechanical,,,
1025,trough,trough,A side trough F part jam,21:25,21:35,0.17,B/D,Mechanical,,,
1026,CCM,Roller ,spt side roller change+mould change,16:05,17:50,1.75,B/D,Mechanical,,,
1027,Mould,Mould,Mould vibration & thickness variation,1:52,2:32,0.67,B/D,Mechanical,,Mould Vibration (0.8mm thickness Variation Observed),Dial from 1mm to 0.3mm and Spt End Bolt Tightened 
1028,Extractor,Extractor,Extractor movement very slow,11:15,11:35,0.33,B/D,Mechanical,,,
1029,Uli unit,Uli unit,B side trough uli tube change ,1:45,2:25,0.67,B/D,Mechanical,,,
1030,CCM,CCM,pipe lifting arm prob,11:45,12:09,0.4,B/D,Mechanical,,,
1031,trough,trough,A side trough uli tube change ,22:45,22:50,0.08,B/D,Mechanical,,,
1032,Core ring ,Core ring ,Core ring housing change,5:47,5:56,0.15,B/D,Mechanical,,,
1033,Pump,Pump,All hydrulic pump off ,9:44,10:10,0.43,B/D,Mechanical,,,
1034,Core Loader,Core Loader,M/C stop due to c/b prob,0:16,0:54,0.63,B/D,Mechanical,,Core burst (2 Times),Housing Changed & Aligned (Compression 0.16mm)
1035,trough,trough,A side roller change,14:40,15:00,0.33,B/D,Mechanical,,,
1036,trough,trough,scrap trolley shifting prob (CABLE change),22:00,23:19,1.32,B/D,Mechanical,,,
1037,Mould,Mould,Mould vibration -mould sleeve change ,0:00,1:25,1.42,B/D,Mechanical,,Mould Vibration & Sleeve Middle Pressing Packing Flange Bolt loose,Sleeve Changed & middle Sleeve Packing Flange Allen Bolt Tightening & pressing done
1038,Mould,Mould,Mould sleeve insert,1:25,2:08,0.72,B/D,Mechanical,,,
1039,Mould,Mould,water leakage from spt side ,23:37,0:15,0.63,B/D,Mechanical,,,
1040,Core loader,Core loader,Core loader change due to spring broken & water leakage from spt side,7:45,8:00,0.25,B/D,Mechanical,,Core Loader - Core Ring Lock Bolt Broken,Core Ring Changed
1041,Mould,Mould,Mould sleeve insert,8:00,8:20,0.33,B/D,Mechanical,,,
1042,Mould,Mould,Mould sleeve trial by mechanical,8:20,9:25,1.08,B/D,Mechanical,,,
1043,Mould,Mould,Mould sleeve insertion ,9:25,10:00,0.58,B/D,Mechanical,,,
1044,trough,trough,b side trough tilting cylinder change,10:00,11:40,1.67,B/D,Mechanical,,B-Side Trough Tilting Cylinder Gland Leakage,Cylinder Changed
1045,Mould,Mould,water leakage from spt side ,20:57,21:32,0.58,B/D,Mechanical,,Water Leakage from Spigot side,Wasn't able to arrest by scaling so sleeve changed
1046,Mould,Mould,mould vibration,10:33,10:39,0.1,B/D,Mechanical,,,
1047,Mould,Mould,mould vibration,20:18,20:23,0.08,B/D,Mechanical,,,
1048,Mould,Mould,v seal water leakage ,8:15,9:30,1.25,B/D,Mechanical,,Headbearing water leakage due to V-Seal Damage (HB No. 2),Sleeve Changed (HB No. 3)
1049,Mould,Mould,water leakage from spt side ,23:28,1:25,1.95,B/D,Mechanical,,Headbearing water leakage due to V-Seal Damage (HB No. 1),Not rotating even at high RPM so Sleeve change (Delay = 25 mins)
1050,flag gate,flag gate,flag gate hydrulic hose damage,12:00,12:08,0.13,B/D,Mechanical,,,
1051,Mould,Mould,water leakage from spt side ,13:21,15:30,2.15,B/D,Mechanical,,Water Leakage from V-Seal (Sl-2 HB-1),Sleeve removed & sleeve inserted after making it ready
1052,Mould,Mould,mould vibration,16:00,19:47,3.78,B/D,Mechanical,,Vibration & Thickness Variation of 2.5mm at socket (Sl-1 HB-3),Sleeve was removed and it was made ready with new mould as another sleeve was not ready
